questions,statements,true_answers,pred_answers,true_descriptions,pred_descriptions,accuracy,infos,outputs
what did the human do when the cat hid before the black bag,the human hid the black bag,error,error,error,error,0,error,error
what does the man in red do before placing the card down at the start,the man in red places the card down at the start,3,0,contemplating to put card down,chewing something,0,"{'Start Frame': 240, 'Frame 240': {'caption': ['a group of people standing around a living room'], 'what is the man in red doing': ['playing video game']}, 'Frame 267': {'what does the man in red do': ['throw frisbee'], 'caption': ['a couple of men sitting on top of a wooden table']}, 'Frame 200': {'what does the man in red do': ['play video games'], 'caption': ['a woman sitting on a couch holding a beer']}, 'Frame 133': {'what is the man in red doing': ['talking on phone'], 'caption': ['a woman sitting on a couch holding a cell phone']}, 'Frame 100': {'what did the man in red do': ['take picture'], 'caption': ['a woman is sitting in a chair and laughing'], 'what is the man in red doing': ['talking on phone']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 100, 'VQA Question': 'what is the man in red doing'}"
what is the man in white holding behind his back before he moved his arms,the man in white is holding something behind his back before he moved his arms.,2,0,bat,airplane,0,"{'Start Frame': 16, 'Frame 16': {'caption': ['a group of people standing on top of a lush green field'], 'what is the man in white holding': ['frisbee']}}","{'Enough Information?': True, 'Answer': 0, 'Choose Frame': None, 'VQA Question': None}"
what does the dog do before he goes under the table at the end,the dog going under the table at the end,2,0,lick cat,walk away,0,"{'Start Frame': 51, 'Frame 51': {'caption': ['a dog and a cat sitting on a stool']}, 'Frame 33': {'caption': ['a cat sitting on a table next to a lamp'], 'what is the dog doing': ['sitting']}, 'Frame 1': {'what is the dog doing': ['looking at cat'], 'caption': ['a cat standing on a table next to a dog']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 33, 'VQA Question': 'what is the dog doing'}"
what did the black and white rabbit do before climbing towards the tree,the black and white rabbit is climbing towards the tree,0,0,sniffing ledge,sniffing ledge,1,"{'Start Frame': 86, 'Frame 86': {'caption': ['a white bird standing in a yard next to a tree']}, 'Frame 46': {'caption': ['a cat sitting on the ground in a yard']}, 'Frame 31': {'caption': ['a small white animal laying on top of a grass covered field']}, 'Frame 21': {'caption': ['a white cat is standing in a yard']}, 'Frame 16': {'what did the black and white rabbit do': ['eat'], 'caption': ['a white and black cat sitting on top of a grass covered field'], 'what is the rabbit doing': ['standing']}, 'Frame 8': {'caption': ['a white and black dog laying on top of a grass covered field'], 'what is the rabbit doing': ['walking']}, 'Frame 4': {'caption': ['a white and black cat sitting on top of a grass covered field']}, 'Frame 2': {'caption': ['a white and black cat sitting on top of a grass covered field'], 'what did the black and white rabbit do before climbing towards the tree': ['eat it']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 2, 'VQA Question': 'what did the black and white rabbit do before climbing towards the tree'}"
what does the man in blue do before the elephant kicked the ball,the man in blue does something,0,0,blows thw whistle,blows thw whistle,1,"{'Start Frame': 44, 'Frame 44': {'caption': ['a group of people riding on the backs of elephants'], 'what is the man in blue doing': ['walking']}, 'Frame 22': {'caption': ['a man riding on the back of an elephant'], 'what is the man in blue doing': ['playing soccer']}, 'Frame 10': {'caption': ['a group of people playing soccer with elephants'], 'what is the man in blue doing': ['standing']}, 'Frame 6': {'caption': ['a little girl riding on the back of an elephant']}, 'Frame 3': {'caption': ['a group of people standing around a soccer ball']}, 'Frame 1': {'caption': ['a group of people playing soccer with elephants'], 'what is the man in blue doing': ['playing soccer']}, 'Frame 31': {'caption': ['a group of people riding on the backs of elephants']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 19, 'VQA Question': None}"
what did the lady do before she waved into the camera,the lady waved into the camera,error,error,error,error,0,error,error
what was the woman doing before she stood up,the woman is standing up,3,0,talk to girl,dancing,0,"{'Start Frame': 112, 'Frame 112': {'caption': ['a person standing in the dark holding a cell phone']}, 'Frame 101': {'what is the woman doing': ['drinking'], 'caption': ['a woman sitting at a table with a birthday cake']}, 'Frame 91': {'what was the woman doing': ['blowing out candles'], 'caption': ['a woman sitting at a table with a birthday cake'], 'what is the woman doing': ['blowing out candles']}, 'Frame 81': {'caption': ['a woman sitting at a table with a birthday cake'], 'what was the woman doing': ['smiling']}, 'Frame 61': {'what is the woman doing': ['blowing out candles'], 'caption': ['a woman sitting at a table with a birthday cake']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 61, 'VQA Question': 'what is the woman doing'}"
what does the kid do before right before standing up,The kid stands up,2,3,looks at the camera,play with toy,0,"{'Start Frame': 36, 'Frame 36': {'caption': ['a little boy standing in the dirt with a frisbee']}, 'Frame 32': {'caption': ['a little boy playing with a toy in the sand']}, 'Frame 24': {'caption': ['a young boy playing with a toy in the sand'], 'what is the kid doing': ['playing with toy'], 'what does the kid do': ['play']}, 'Frame 18': {'caption': ['a young boy crouching down with a baseball glove']}, 'Frame 10': {}}","{'Enough Information?': True, 'Answer': 3, 'Choose Frame': None, 'VQA Question': None}"
what did the man lying down do before he rolled over,the man lying down rolled over,3,0,stare at camera,lie on his back,0,"{'Start Frame': 1, 'Frame 1': {'caption': ['a man laying on the ground next to a skateboard']}, 'Frame 14': {'caption': [""a man in a military uniform cutting another man's hair""], 'what is the man doing': ['sitting']}, 'Frame 7': {'caption': ['a statue of a man laying on a bench'], 'what is the man doing': ['sleeping'], 'what does the man lying down do': ['sleep']}, 'Frame 4': {'what is the statue doing': ['sleeping'], 'caption': ['a man sitting on top of a bench next to a wall'], 'what is the man doing': ['cutting hair']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 1, 'VQA Question': None}"
what was the cat doing before it saw the cat,the cat saw the cat,2,1,lying down,move to other cat,0,"{'Start Frame': 17, 'Frame 17': {'caption': ['a black and white cat sitting on top of a wooden table'], 'what is the cat doing': ['laying down']}, 'Frame 8': {'caption': ['a black and white cat laying on top of a wooden table']}, 'Frame 1': {'what is the cat doing': ['laying down'], 'caption': ['a black and white cat laying on top of a wooden table'], 'what was the cat doing': ['laying down']}, 'Frame 22': {}}","{'Enough Information?': True, 'Answer': 1, 'Choose Frame': None, 'VQA Question': None}"
what is the lady doing before she stopped the dog in the beginning of the video,the lady stopping the dog in the beginning of the video,2,2,walking the dog,walking the dog,1,"{'Start Frame': 21, 'Frame 21': {'caption': ['a woman standing next to a black dog on a sidewalk']}, 'Frame 46': {'caption': ['a woman petting a black dog on a leash'], 'what is the lady doing': ['petting dog']}}","{'Enough Information?': True, 'Answer': 2, 'Choose Frame': None, 'VQA Question': None}"
what does the priest do while the woman is kneeling before him,the woman is kneeling before the priest,error,error,error,error,0,error,error
what did the baby do before raising his hand at the end,the baby raising his hand,error,error,error,error,0,error,error
what did the lady do before she kissed the baby,the lady kisses the baby,error,error,error,error,0,error,error
how did the first diver filmed position higher hands before waving to the camera,the first diver filmed positioned higher hands before waving to the camera,4,0,cross arm,watch,0,"{'Start Frame': 1, 'Frame 1': {'caption': ['a person in a wet suit diving in the ocean']}, 'Frame 2': {""how are the diver's hands positioned"": ['in air'], 'caption': ['a man in a diving suit is in the water'], 'what is the man in the diving suit doing': ['diving'], 'how does the first diver filmed position higher hands': ['with his hands'], 'what is the man doing': ['diving']}, 'Frame 4': {'caption': ['a person in a wet suit diving in the ocean']}, 'Frame 79': {'caption': ['a large group of fish swimming over a coral reef'], 'how does the first diver filmed position his hands': ['with his hands']}, 'Frame 40': {'caption': ['a group of fish swimming around a coral reef']}, 'Frame 20': {'caption': ['a person in a scuba suit diving in the water'], 'what is the first diver doing': ['diving']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 20, 'VQA Question': 'what is the first diver doing'}"
what activity was the man doing before he fell,the man is falling,error,error,error,error,0,error,error
what was the boy doing before he ran forward at the start,the boy is running forward at the start,1,4,standing and touching his lips,bite a slip of paper,0,"{'Start Frame': 19, 'Frame 19': {'caption': ['a young boy playing a game on the nintendo wii']}, 'Frame 28': {'what was the boy doing': ['playing video game'], 'caption': ['a living room filled with furniture and a dining room table']}, 'Frame 46': {}}","{'Enough Information?': True, 'Answer': 4, 'Choose Frame': None, 'VQA Question': None}"
what did the man do before cutting the tree,the man is cutting the tree,2,2,move to position,move to position,1,"{'Start Frame': 0, 'Frame 0': {'caption': ['a man on a lift working on a tree']}, 'Frame 47': {'what is the man doing': ['working'], 'caption': ['a man on a lift working on a tree']}, 'Frame 23': {'what did the man on a lift do': ['lift'], 'caption': ['a white utility truck is parked next to a tree'], 'what is the man doing': ['talking on phone']}}","{'Enough Information?': True, 'Answer': 2, 'Choose Frame': None, 'VQA Question': None}"
what did the four people do together before they start their practice,the four people start their practice together,3,0,raise the sword,move behind,0,"{'Start Frame': 6, 'Frame 6': {'caption': ['a group of people standing on top of a gym floor'], 'what are the four people doing': ['practicing'], 'what are the people doing': ['practicing'], 'what are the four people doing together': ['practicing']}, 'Frame 3': {'caption': ['a group of men standing on top of a gym floor'], 'what are the four people doing together': ['practicing'], 'what are the four people doing': ['practicing']}, 'Frame 0': {'what is the group of men doing': ['practicing'], 'caption': ['a group of men standing on top of a gym floor']}, 'Frame 14': {'caption': ['a group of people standing on top of a hard wood floor'], 'what are the people doing': ['practicing']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 14, 'VQA Question': 'what are the people doing'}"
what did the man in black in front of the man in grey do before the man in grey passed him the microphone,the man in grey passes the microphone to the man in front of him,4,0,look at man in grey,stands still on the left,0,"{'Start Frame': 1, 'Frame 1': {'caption': ['a man holding a microphone in front of a group of people'], 'what is the man in black doing': ['listening']}, 'Frame 46': {'caption': ['a man holding a microphone standing next to another man'], 'what is the man in black doing': ['talking']}, 'Frame 23': {'caption': ['a group of people standing around each other'], 'what is the man in black doing': ['talking']}, 'Frame 11': {'What is the man in grey doing': ['talking']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 11, 'VQA Question': 'What is the man in grey doing'}"
what did the baby in blue do before he looked up at the end,the baby in blue looks up at the end,2,0,looked to his right,smiles,0,"{'Start Frame': 35, 'Frame 35': {'caption': ['a couple of babies laying on top of a blanket'], 'what did the baby in blue do': ['sleep'], 'what is the baby in blue doing': ['laying down']}, 'Frame 20': {'what did the baby in blue do before he looked up at the end': ['sleep'], 'caption': ['a couple of babies laying on top of a blanket'], 'what is the baby doing': ['laying down']}, 'Frame 19': {'what did the baby in blue do': ['sleep'], 'caption': ['a couple of babies laying next to each other']}, 'Frame 9': {'caption': ['a group of babies laying on top of a floor'], 'what is the baby doing': ['laying down'], 'what are the other babies doing': ['laying down'], 'what is the baby in blue doing': ['laying down'], 'what are the babies doing?': ['laying down']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 9, 'VQA Question': 'what are the babies doing?'}"
what was the baby doing before turning back at the end,the baby is turning back at the end,error,error,error,error,0,error,error
what was the man doing before taking a drink from his cup,the man is taking a drink from his cup,1,0,speaking,walk away,0,"{'Start Frame': 24, 'Frame 24': {'caption': ['a man holding a starbucks cup in his right hand']}, 'Frame 20': {'what was the man doing': ['taking selfie'], 'caption': ['a man holding up a picture of himself in a room'], 'what is the man doing': ['taking selfie']}, 'Frame 10': {'caption': ['a man wearing glasses and a hoodie in a room'], 'what is the man doing': ['looking at camera']}, 'Frame 34': {'what is the man doing before taking a drink': ['drinking'], 'caption': ['a man drinking a cup of starbucks coffee'], 'what was the man doing': ['drinking']}, 'Frame 26': {'what is the man doing': ['drinking'], 'caption': ['a man drinking from a starbucks cup in a living room'], 'what was the man doing?': ['talking on phone'], 'what was the man doing': ['talking on phone']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 26, 'VQA Question': 'what was the man doing'}"
what is the white dog playing with before he looked up,the white dog is playing with something,error,error,error,error,0,error,error
what did the boy do before he bend down at the beginning of the video,the boy bends down at the beginning of the video,error,error,error,error,0,error,error
what did the women do before going near the man,the women go near the man,4,0,do up her hairs,carry boy,0,"{'Start Frame': 116, 'Frame 116': {'caption': ['a man and a woman standing on a stage'], 'what is the woman doing': ['standing']}, 'Frame 97': {'caption': ['a couple of people standing on a stage'], 'what were the women doing': ['talking'], 'what was the woman doing before going near the man': ['talking']}, 'Frame 48': {'caption': ['a couple of people standing on a stage'], 'what are the women doing near the man': ['talking'], 'what is the woman doing': [""holding man's hand""]}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 113, 'VQA Question': None}"
what did the rightmost man in black do before the man in white hit the balloon,the rightmost man in black has hit the balloon,2,0,threw balloon,raise his hand,0,"{'Start Frame': 28, 'Frame 28': {'caption': ['a group of people standing on top of a lush green field'], 'what is the rightmost man in black doing': ['throwing frisbee']}, 'Frame 19': {'what is the man in black doing': ['playing frisbee'], 'caption': ['a group of people standing on top of a lush green field']}, 'Frame 16': {'what did the rightmost man in black do': ['catch frisbee'], 'caption': ['a group of people standing on top of a lush green field']}, 'Frame 15': {'caption': ['a group of men standing on top of a lush green field'], 'what did the rightmost man in black do': ['catch frisbee']}, 'Frame 8': {'caption': ['a group of men standing on top of a lush green field'], 'what is the rightmost man in black doing': ['throwing frisbee']}, 'Frame 4': {'what is the rightmost man in black doing': ['throwing frisbee'], 'caption': ['a group of men standing on top of a lush green field']}, 'Frame 2': {'what is the rightmost man in black doing': ['throwing frisbee']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 2, 'VQA Question': 'what is the rightmost man in black doing'}"
what was the cat doing before it first turned around,the cat first turned around,error,error,error,error,0,error,error
what was the elephant at the goal post doing before the ball was kicked over,the elephant at the goal post is doing something before the ball is kicked over,4,0,moving around,eat and drink,0,"{'Start Frame': 22, 'Frame 22': {'caption': ['a man riding on the back of an elephant']}, 'Frame 11': {'what was the elephant at the goal post doing': ['standing'], 'caption': ['a group of elephants playing with a soccer ball'], 'what is the elephant at the goal post doing': ['walking'], 'what is the elephant doing at the goal post': ['walking']}, 'Frame 27': {'what was the elephant at the goal post doing': ['walking'], 'caption': ['a person riding on the back of a horse'], 'what is the elephant at the goal post doing': ['standing']}, 'Frame 35': {'what is the elephant doing': ['playing soccer']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 35, 'VQA Question': 'what is the elephant doing'}"
what was the puppy doing before the lady put the red shirt over its body,the lady put the red shirt over its body.,1,0,climbing on to lady,moved back to the wall,0,"{'Start Frame': 126, 'Frame 126': {'caption': ['a person with a dog on the floor']}, 'Frame 202': {'what does the lady do with the red shirt': ['put it on her shirt'], 'caption': ['a person is petting a small white dog'], 'what is the puppy doing': ['playing']}, 'Frame 169': {'what is the puppy doing': ['playing'], 'caption': ['a person with a pair of red gloves on their feet']}, 'Frame 219': {'what is the puppy doing': ['playing'], 'caption': ['a blurry image of a person sitting on the floor'], 'what is happening in the video': ['playing with cat']}, 'Frame 244': {'what is the puppy doing': ['playing'], 'caption': ['a small white dog wearing a red shirt'], 'what was the puppy doing': ['playing']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 244, 'VQA Question': 'what was the puppy doing'}"
what were the two ladies doing before they started talking at the start of the video,two ladies starting to talk,4,0,staring at the fountain,hanging clothes,0,"{'Start Frame': 157, 'Frame 157': {'caption': ['a couple of women standing next to each other']}, 'Frame 177': {'what are the ladies doing': ['talking'], 'caption': ['two women standing next to each other in front of a fountain'], 'what were the two ladies doing': ['posing']}, 'Frame 101': {'caption': ['a couple of women standing next to each other'], 'what were the two ladies doing': ['posing'], 'what are the two ladies doing': ['posing']}, 'Frame 151': {'caption': ['a couple of women standing next to each other']}, 'Frame 153': {'caption': ['a couple of women standing next to each other']}, 'Frame 127': {'what was the two ladies doing': ['posing'], 'caption': ['a couple of women standing next to each other'], 'what were the two ladies doing': ['posing']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 51, 'VQA Question': None}"
what was the boy doing right before the girl came to a stop in the middle,the girl came to a stop in the middle,4,0,starts cycling again,turn around,0,"{'Start Frame': 72, 'Frame 72': {'caption': ['a little girl riding a bike in a parking lot'], 'what was the boy doing': ['riding bike']}, 'Frame 47': {'what is the boy doing': ['riding bike'], 'caption': ['a little girl riding a bike in a parking lot'], 'what was the boy doing': ['riding bike']}, 'Frame 23': {'what was the boy doing': ['riding bike'], 'caption': ['a large open area with lots of trees in the background'], 'what is the boy doing': ['playing frisbee']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 23, 'VQA Question': 'what is the boy doing'}"
what does the man do to the boy before leaving him in the middle,The man leaves the boy in the middle.,4,0,pat his head,show boy toy plane,0,"{'Start Frame': 33, 'Frame 33': {'caption': ['a woman standing next to a little boy in a kitchen'], 'what is the woman doing': ['standing'], 'what is the man doing': ['standing'], 'what is the little boy doing': ['watching tv'], 'what is the man doing to the boy': ['teaching'], 'what is the boy doing?': ['playing wii'], 'what does the man do to the boy': ['nothing']}}","{'Enough Information?': False, 'Answer': None, 'Choose Frame': 33, 'VQA Question': 'what is the man doing'}"
